symbol	hgnc_id	entrez_id	ensembl_gene_id	gene_name	uniprot_ids	protein_name_uniprot	alias_symbols	disease	category	label	evidence	note	source
ASF1A	HGNC:20995	25842	ENSG00000111875	anti-silencing function 1A histone chaperone	Q9Y294		DKFZP547E2110|CIA	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
HMGN2	HGNC:4986	3151	ENSG00000198830	high mobility group nucleosomal binding domain 2	P05204		HMG17	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
SLC26A2	HGNC:10994	1836	ENSG00000155850	solute carrier family 26 member 2	P50443		DTDST|DTD	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
ARL9	HGNC:23592	132946	ENSG00000196503	ARF like GTPase 9	Q6T311			prostate cancer	random	0			HGNC protein-coding random, seed 20260921
SLC30A1	HGNC:11012	7779	ENSG00000170385	solute carrier family 30 member 1	Q9Y6M5		ZRC1|ZNT1	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
SLC71A1	HGNC:23363	64645	ENSG00000156875	solute carrier family 71 member 1	Q96MC6		DKFZP564L0864|HIAT1|MFSD14A	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
SLC6A7	HGNC:11054	6534	ENSG00000011083	solute carrier family 6 member 7	Q99884		PROT	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
SLC10A7	HGNC:23088	84068	ENSG00000120519	solute carrier family 10 member 7	Q0GE19		MGC25043|DKFZp566M114|DKFZp313H0531|DKFZp779O2438|C4orf13	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
SLC31A2	HGNC:11017	1318	ENSG00000136867	solute carrier family 31 member 2	O15432		hCTR2|CTR2|COPT2	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
FMNL2	HGNC:18267	114793	ENSG00000157827	formin like 2	Q96PY5		KIAA1902|FHOD2	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
SLC16A1	HGNC:10922	6566	ENSG00000155380	solute carrier family 16 member 1	P53985		MCT|MCT1	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
IFIT5	HGNC:13328	24138	ENSG00000152778	interferon induced protein with tetratricopeptide repeats 5	Q13325		RI58	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
UBXN1	HGNC:18402	51035	ENSG00000162191	UBX domain protein 1	Q04323		LOC51035|2B28|UBXD10|SAKS1	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
SLC27A6	HGNC:11000	28965	ENSG00000113396	solute carrier family 27 member 6	Q9Y2P4		FATP6|VLCS-H1|FACVL2|ACSVL2	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
SLC6A17	HGNC:31399	388662	ENSG00000197106	solute carrier family 6 member 17	Q9H1V8		NTT4	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
SLC38A5	HGNC:18070	92745	ENSG00000017483	solute carrier family 38 member 5	Q8WUX1		SN2|JM24|SNAT5	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
SLC25A3	HGNC:10989	5250	ENSG00000075415	solute carrier family 25 member 3	Q00325		PiC|PTP|PHC	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
OR8K1	HGNC:14831	390157	ENSG00000150261	olfactory receptor family 8 subfamily K member 1	Q8NGG5			prostate cancer	random	0			HGNC protein-coding random, seed 20260921
AMBN	HGNC:452	258	ENSG00000178522	ameloblastin	Q9NP70			prostate cancer	random	0			HGNC protein-coding random, seed 20260921
SLC9D1	HGNC:20329	55002	ENSG00000150403	solute carrier family 9 member D1	Q6UWJ1		FLJ20623|C13orf11|TMCO3	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
SLC25A44	HGNC:29036	9673	ENSG00000160785	solute carrier family 25 member 44	Q96H78		FLJ90431|KIAA0446	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
CNTN4	HGNC:2174	152330	ENSG00000144619	contactin 4	Q8IWV2		BIG-2	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
SLC35F3	HGNC:23616	148641	ENSG00000183780	solute carrier family 35 member F3	Q8IY50		FLJ37712	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
SLC25A35	HGNC:31921	399512	ENSG00000125434	solute carrier family 25 member 35	Q3KQZ1		FLJ40217	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
SLC25A48	HGNC:30451	153328	ENSG00000145832	solute carrier family 25 member 48	Q6ZT89		FLJ44862	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
SLC38A6	HGNC:19863	145389	ENSG00000139974	solute carrier family 38 member 6	Q8IZM9		NAT-1|SNAT6	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
B4GALT5	HGNC:928	9334	ENSG00000158470	beta-1,4-galactosyltransferase 5	O43286		beta4GalT-V	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
SLC45A3	HGNC:8642	85414	ENSG00000158715	solute carrier family 45 member 3	Q96JT2		IPCA-6|prostein|IPCA-2|IPCA-8|PCANAP6|PCANAP2|PCANAP8	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
SLC13A2	HGNC:10917	9058	ENSG00000007216	solute carrier family 13 member 2	Q13183		NaDC-1	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
MRGPRE	HGNC:30694	116534	ENSG00000184350	MAS related GPR family member E	Q86SM8		mrgE|GPR167	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
SLC35F6	HGNC:26055	54978	ENSG00000213699	solute carrier family 35 member F6	Q8N357		FLJ20555|ANT2BP|TANGO9|C2orf18	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
WDR31	HGNC:21421	114987	ENSG00000148225	WD repeat domain 31	Q8NA23		FLJ35921	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
SLC22A23	HGNC:21106	63027	ENSG00000137266	solute carrier family 22 member 23	A1A5C7		FLJ22174|C6orf85	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
SLC3A1	HGNC:11025	6519	ENSG00000138079	solute carrier family 3 member 1	Q07837		CSNU1|D2H|RBAT|ATR1|NBAT	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
MRPL2	HGNC:14056	51069	ENSG00000112651	mitochondrial ribosomal protein L2	Q5T653		MRP-L14|RPML14|CGI-22|uL2m	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
TTC24	HGNC:32348	164118	ENSG00000187862	tetratricopeptide repeat domain 24	A2A3L6			prostate cancer	random	0			HGNC protein-coding random, seed 20260921
REXO2	HGNC:17851	25996	ENSG00000076043	RNA exonuclease 2	Q9Y3B8		DKFZP566E144|SFN|CGI-114	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
WNT2B	HGNC:12781	7482	ENSG00000134245	Wnt family member 2B	Q93097		XWNT2|WNT13	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
SLC25A46	HGNC:25198	91137	ENSG00000164209	solute carrier family 25 member 46	Q96AG3			prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
SLC5A6	HGNC:11041	8884	ENSG00000138074	solute carrier family 5 member 6	Q9Y289		SMVT	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
CSPG5	HGNC:2467	10675	ENSG00000114646	chondroitin sulfate proteoglycan 5	O95196		NGC	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
SLC38A2	HGNC:13448	54407	ENSG00000134294	solute carrier family 38 member 2	Q96QD8		SAT2|ATA2|KIAA1382|SNAT2	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
ZNF681	HGNC:26457	148213	ENSG00000196172	zinc finger protein 681	Q96N22		FLJ31526	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
RBP3	HGNC:9921	5949	ENSG00000265203	retinol binding protein 3	P10745		D10S64|D10S65|D10S66|RP66|IRBP	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
SLC25A16	HGNC:10986	8034	ENSG00000122912	solute carrier family 25 member 16	P16260		GDA|D10S105E|HGT.1|ML7	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
SLC14A2	HGNC:10919	8170	ENSG00000132874	solute carrier family 14 member 2	Q15849		HUT2|UT2	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
SLC28A3	HGNC:16484	64078	ENSG00000197506	solute carrier family 28 member 3	Q9HAS3		CNT3	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
TMPRSS2	HGNC:11876	7113	ENSG00000184012	transmembrane serine protease 2	O15393		PRSS10	prostate cancer	candidate	0	somatic	fusion partner; androgen-regulated protease	curated (Claude knowledge; unverified)
SLCO2A1	HGNC:10955	6578	ENSG00000174640	solute carrier organic anion transporter family member 2A1	Q92959		PGT|OATP2A1|SLC21A2|MATR1	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
RORB	HGNC:10259	6096	ENSG00000198963	RAR related orphan receptor B	Q92753		RZRB|NR1F2|ROR-BETA|RORβ|RZR-BETA	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
SLC7A2	HGNC:11060	6542	ENSG00000003989	solute carrier family 7 member 2	P52569		CAT-2|HCAT2|SLC7A2A|SLC7A2B|CAT-2A|CAT-2B|ATRC2	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
HAPLN3	HGNC:21446	145864	ENSG00000140511	hyaluronan and proteoglycan link protein 3	Q96S86		HsT19883|EXLD1	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
SPATS1	HGNC:22957	221409	ENSG00000249481	spermatogenesis associated serine rich 1	Q496A3		SPATA8|FLJ25442|SRSP1	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
SLC25A12	HGNC:10982	8604	ENSG00000115840	solute carrier family 25 member 12	O75746		Aralar|aralar1|AGC1	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
ZNF710	HGNC:25352	374655	ENSG00000140548	zinc finger protein 710	Q8N1W2		DKFZp547K1113|FLJ37393|FLJ00306	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
ZNF48	HGNC:13114	197407	ENSG00000180035	zinc finger protein 48	Q96MX3		DKFZp762K013|FLJ31751|MGC43952|ZNF553	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
ECI1	HGNC:2703	1632	ENSG00000167969	enoyl-CoA delta isomerase 1	P42126		DCI	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
TSPAN31	HGNC:10539	6302	ENSG00000135452	tetraspanin 31	Q12999		SAS	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
ANAPC10	HGNC:24077	10393	ENSG00000164162	anaphase promoting complex subunit 10	Q9UM13		APC10|DOC1|DKFZP564L0562	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
MAT2A	HGNC:6904	4144	ENSG00000168906	methionine adenosyltransferase 2A	P31153		SAMS2|MATA2|MATII|MAT-II	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
ARHGDIG	HGNC:680	398	ENSG00000242173	Rho GDP dissociation inhibitor gamma	Q99819		RHOGDI-3	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
SLC47A1	HGNC:25588	55244	ENSG00000142494	solute carrier family 47 member 1	Q96FL8		FLJ10847|MATE1	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
SLC15A3	HGNC:18068	51296	ENSG00000110446	solute carrier family 15 member 3	Q8IY34		PHT2|hPTR3	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
SLC12A3	HGNC:10912	6559	ENSG00000070915	solute carrier family 12 member 3	P55017		NCCT|NCC|TSC	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
SLC6A3	HGNC:11049	6531	ENSG00000142319	solute carrier family 6 member 3	Q01959		DAT|DAT1	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
CDK4	HGNC:1773	1019	ENSG00000135446	cyclin dependent kinase 4	P11802		PSK-J3	prostate cancer	candidate	0	clinical_trial	cell-cycle	curated (Claude knowledge; unverified)
CPLANE2	HGNC:28127	79363	ENSG00000132881	ciliogenesis and planar polarity effector complex subunit 2	Q9BU20		MGC10731|C1orf89|RSG1	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
GNG14	HGNC:53439	105372280	ENSG00000283980	G protein subunit gamma 14	A0A1W2PPG7			prostate cancer	random	0			HGNC protein-coding random, seed 20260921
SEC23A	HGNC:10701	10484	ENSG00000100934	SEC23 homolog A, COPII component	Q15436			prostate cancer	random	0			HGNC protein-coding random, seed 20260921
PRAMEF8	HGNC:24074	391002	ENSG00000182330	PRAME family member 8	Q5VWM4			prostate cancer	random	0			HGNC protein-coding random, seed 20260921
RELA	HGNC:9955	5970	ENSG00000173039	RELA proto-oncogene, NF-kB subunit	Q04206		p65|NFKB3	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
FAM162B	HGNC:21549	221303	ENSG00000183807	family with sequence similarity 162 member B	Q5T6X4		bA86F4.2|C6orf189	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
HIF3A	HGNC:15825	64344	ENSG00000124440	hypoxia inducible factor 3 subunit alpha	Q9Y2N7		IPAS|MOP7|PASD7|bHLHe17	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
SLC3A2	HGNC:11026	6520	ENSG00000168003	solute carrier family 3 member 2	P08195		4T2HC|4F2|NACAE|CD98|CD98HC|4F2HC|MDU1	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
SLC1A1	HGNC:10939	6505	ENSG00000106688	solute carrier family 1 member 1	P43005		EAAC1|EAAT3|hEAAC1	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
SLC5A9	HGNC:22146	200010	ENSG00000117834	solute carrier family 5 member 9	Q2M3M2		SGLT4	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
GUCY2F	HGNC:4691	2986	ENSG00000101890	guanylate cyclase 2F, retinal	P51841		GUC2DL|GC-F|RetGC-2|ROS-GC2|CYGF	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
POU4F2	HGNC:9219	5458	ENSG00000151615	POU class 4 homeobox 2	Q12837		Brn-3b|BRN3B	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
SLC29A2	HGNC:11004	3177	ENSG00000174669	solute carrier family 29 member 2	Q14542		DER12|ENT2|HNP36	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
MFAP3L	HGNC:29083	9848	ENSG00000198948	microfibril associated protein 3 like	O75121		KIAA0626|NYD-sp9	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
MSH2	HGNC:7325	4436	ENSG00000095002	mutS homolog 2	P43246		HNPCC|HNPCC1|MSH-2|COCA1	prostate cancer	candidate	0	germline	mismatch repair; immunotherapy sensitivity	curated (Claude knowledge; unverified)
GLRA1	HGNC:4326	2741	ENSG00000145888	glycine receptor alpha 1	P23415		STHE	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
ADAMTS14	HGNC:14899	140766	ENSG00000138316	ADAM metallopeptidase with thrombospondin type 1 motif 14	Q8WXS8			prostate cancer	random	0			HGNC protein-coding random, seed 20260921
CYP17A1	HGNC:2593	1586	ENSG00000148795	cytochrome P450 family 17 subfamily A member 1	P05093		P450C17|CPT7|S17AH|CYP17	prostate cancer	known	1	approved_drug	abiraterone — approved (androgen synthesis inhibitor)	curated (Claude knowledge, 2026-05; unverified)
BRCA2	HGNC:1101	675	ENSG00000139618	BRCA2 DNA repair associated	P51587		FAD|FAD1|BRCC2|XRCC11|FANCD1|FACD|FANCD	prostate cancer	candidate	0	germline	homologous recombination; PARP-inhibitor sensitivity	curated (Claude knowledge; unverified)
BCL2	HGNC:990	596	ENSG00000171791	BCL2 apoptosis regulator	P10415		Bcl-2|PPP1R50	prostate cancer	candidate	0	biology	anti-apoptotic	curated (Claude knowledge; unverified)
APBA2	HGNC:579	321	ENSG00000034053	amyloid beta precursor protein binding family A member 2	Q99767		D15S1518E|LIN-10|MGC:14091|HsT16821|X11L|MINT2	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
SLC12A7	HGNC:10915	10723	ENSG00000113504	solute carrier family 12 member 7	Q9Y666		KCC4|DKFZP434F076	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
TSC22D4	HGNC:21696	81628	ENSG00000166925	TSC22 domain family member 4	Q9Y3Q8		THG-1|TILZ2	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
CLEC14A	HGNC:19832	161198	ENSG00000176435	C-type lectin domain containing 14A	Q86T13		C14orf27	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
BEX5	HGNC:27990	340542	ENSG00000184515	brain expressed X-linked 5	Q5H9J7		NGFRAP1L1	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
SLC2A5	HGNC:11010	6518	ENSG00000142583	solute carrier family 2 member 5	P22732		GLUT5	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
CHIA	HGNC:17432	27159	ENSG00000134216	chitinase acidic	Q9BZP6		AMCase|TSA1902|CHIT2	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
GABRG1	HGNC:4086	2565	ENSG00000163285	gamma-aminobutyric acid type A receptor subunit gamma1	Q8N1C3			prostate cancer	random	0			HGNC protein-coding random, seed 20260921
SLC2A14	HGNC:18301	144195	ENSG00000173262	solute carrier family 2 member 14	Q8TDB8		GLUT14|SLC2A3P3	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
DLC1	HGNC:2897	10395	ENSG00000164741	DLC1 Rho GTPase activating protein	Q96QB1		HP|ARHGAP7|STARD12|DLC-1|p122-RhoGAP	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
ADCY9	HGNC:240	115	ENSG00000162104	adenylate cyclase 9	O60503		AC9	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
SLC7A13	HGNC:23092	157724	ENSG00000164893	solute carrier family 7 member 13	Q8TCU3		AGT-1|XAT2	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
SLC48A1	HGNC:26035	55652	ENSG00000211584	solute carrier family 48 member 1	Q6P1K1		FLJ20489|hHRG-1|HRG1	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
PCYOX1	HGNC:20588	51449	ENSG00000116005	prenylcysteine oxidase 1	Q9UHG3		KIAA0908|PCL1	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
SLC13A5	HGNC:23089	284111	ENSG00000141485	solute carrier family 13 member 5	Q86YT5		NACT|INDY|mINDY	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
SEC61B	HGNC:16993	10952	ENSG00000106803	SEC61 translocon subunit beta	P60468			prostate cancer	random	0			HGNC protein-coding random, seed 20260921
MUC17	HGNC:16800	140453	ENSG00000169876	mucin 17, cell surface associated	Q685J3			prostate cancer	random	0			HGNC protein-coding random, seed 20260921
SLC16A12	HGNC:23094	387700	ENSG00000152779	solute carrier family 16 member 12	Q6ZSM3		MCT12|CRT2	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
SLC22A4	HGNC:10968	6583	ENSG00000197208	solute carrier family 22 member 4	Q9H015		OCTN1|MGC34546|DFNB60	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
KCNE5	HGNC:6241	23630	ENSG00000176076	potassium voltage-gated channel subfamily E regulatory subunit 5	Q9UJ90		KCNE1L	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
ZNF22	HGNC:13012	7570	ENSG00000165512	zinc finger protein 22	P17026		KOX15|HKR-T1|ZNF422|Zfp422	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
XRCC1	HGNC:12828	7515	ENSG00000073050	X-ray repair cross complementing 1	P18887		RCC	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
SLC35A1	HGNC:11021	10559	ENSG00000164414	solute carrier family 35 member A1	P78382		CMPST|hCST|CMP-Sia-Tr	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
NIPA2	HGNC:17044	81614	ENSG00000140157	NIPA magnesium transporter 2	Q8N8Q9		SLC57A2	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
SLC24A1	HGNC:10975	9187	ENSG00000074621	solute carrier family 24 member 1	O60721		NCKX1|NCKX|RODX|KIAA0702|HsT17412|CSNB1D	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
AKT1	HGNC:391	207	ENSG00000142208	AKT serine/threonine kinase 1	P31749		RAC|PKB|PRKBA|AKT|RAC-alpha	prostate cancer	candidate	0	clinical_trial	capivasertib; phase 3 positive in PTEN-deficient disease	curated (Claude knowledge; unverified)
CDH1	HGNC:1748	999	ENSG00000039068	cadherin 1	P12830		uvomorulin|CD324|UVO	prostate cancer	candidate	0	biology	epithelial adhesion; invasion	curated (Claude knowledge; unverified)
STX10	HGNC:11428	8677	ENSG00000104915	syntaxin 10	O60499		hsyn10|SYN10	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
VPS33A	HGNC:18179	65082	ENSG00000139719	VPS33A core subunit of CORVET and HOPS complexes	Q96AX1			prostate cancer	random	0			HGNC protein-coding random, seed 20260921
FAM120AOS	HGNC:23389	158293	ENSG00000188938	family with sequence similarity 120 member A opposite strand	Q5T036		C9orf10OS	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
SDR42E1	HGNC:29834	93517	ENSG00000184860	short chain dehydrogenase/reductase family 42E, member 1	Q8WUS8		HSPC105	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
SLC25A43	HGNC:30557	203427	ENSG00000077713	solute carrier family 25 member 43	Q8WUT9			prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
TSTD1	HGNC:35410	100131187	ENSG00000215845	thiosulfate sulfurtransferase like domain containing 1	Q8NFU3		KAT	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
SLC26A1	HGNC:10993	10861	ENSG00000145217	solute carrier family 26 member 1	Q9H2B4		SAT-1|EDM4	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
CBR1	HGNC:1548	873	ENSG00000159228	carbonyl reductase 1	P16152		SDR21C1|CBR	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
IFNA16	HGNC:5421	3449	ENSG00000147885	interferon alpha 16	P05015		IFN-alphaO	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
DSG4	HGNC:21307	147409	ENSG00000175065	desmoglein 4	Q86SJ6		CDHF13|LAH	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
POU6F2	HGNC:21694	11281	ENSG00000106536	POU class 6 homeobox 2	P78424		RPF-1	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
SLCO3A1	HGNC:10952	28232	ENSG00000176463	solute carrier organic anion transporter family member 3A1	Q9UIG8		OATP-D|OATP3A1|SLC21A11	prostate cancer	random	0		SLC decoy	SLC decoy, seed 20260921
NPHP4	HGNC:19104	261734	ENSG00000131697	nephrocystin 4	O75161		SLSN4|KIAA0673|POC10	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
KCNK4	HGNC:6279	50801	ENSG00000182450	potassium two pore domain channel subfamily K member 4	Q9NYG8		K2p4.1|TRAAK	prostate cancer	random	0			HGNC protein-coding random, seed 20260921
