symbol	hgnc_id	entrez_id	ensembl_gene_id	gene_name	uniprot_ids	protein_name_uniprot	alias_symbols	disease	category	label	evidence	note	source
PPFIA2	HGNC:9246	8499	ENSG00000139220	PPFI scaffold protein A2	O75334			rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
BCL9L	HGNC:23688	283149	ENSG00000186174	BCL9 like	Q86UU0		DLNB11|B9L|Bcl9-2	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
GNG10	HGNC:4402	2790	ENSG00000242616	G protein subunit gamma 10	P50151			rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
GOLGA6D	HGNC:32204	653643	ENSG00000140478	golgin A6 family member D	P0CG33			rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
AVEN	HGNC:13509	57099	ENSG00000169857	apoptosis and caspase activation inhibitor	Q9NQS1		PDCD12	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
SERPINE2	HGNC:8951	5270	ENSG00000135919	serpin family E member 2	P07093		PN1|GDN|PNI|nexin|PI7	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
DDR1	HGNC:2730	780	ENSG00000204580	discoidin domain receptor tyrosine kinase 1	Q08345		RTK6|CD167|NTRK4|PTK3A|NEP|CAK|EDDR1	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
STX10	HGNC:11428	8677	ENSG00000104915	syntaxin 10	O60499		hsyn10|SYN10	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
BCLAF3	HGNC:27413	256643	ENSG00000173681	BCLAF1 and THRAP3 family member 3	A2AJT9		CXorf23	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
SOWAHC	HGNC:26149	65124	ENSG00000198142	sosondowah ankyrin repeat domain family member C	Q53LP3		FLJ21870|C2orf26|ANKRD57	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
MEGF10	HGNC:29634	84466	ENSG00000145794	multiple EGF like domains 10	Q96KG7		KIAA1780|SR-F3	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
GHRL	HGNC:18129	51738	ENSG00000157017	ghrelin and obestatin prepropeptide	Q9UBU3		MTLRP|ghrelin|obestatin	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
RBMXL2	HGNC:17886	27288	ENSG00000170748	RBMX like 2	O75526		HNRNPG-T|HNRPGT	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
DNAJC21	HGNC:27030	134218	ENSG00000168724	DnaJ heat shock protein family (Hsp40) member C21	Q5F1R6		GS3|DNAJA5|JJJ1	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
ATP5PD	HGNC:845	10476	ENSG00000167863	ATP synthase peripheral stalk subunit d	O75947		ATPQ|ATP5JD|ATP5H	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
GATD3	HGNC:1273	8209	ENSG00000160221	glutamine amidotransferase class 1 domain containing 3	P0DPI2		KNP-Ia|GT335|ES1|HES1|D21S2048E|KNPI|KNPH|KNP-I|C21orf33|GATD3A	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
NFYC	HGNC:7806	4802	ENSG00000066136	nuclear transcription factor Y subunit gamma	Q13952		CBF-C|NF-YC	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
PP2D1	HGNC:28406	151649	ENSG00000183977	protein phosphatase 2C like domain containing 1	A8MPX8		FLJ25449|C3orf48	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
ADAMTS1	HGNC:217	9510	ENSG00000154734	ADAM metallopeptidase with thrombospondin type 1 motif 1	Q9UHI8		C3-C5|METH1|KIAA1346	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
ABI3BP	HGNC:17265	25890	ENSG00000154175	ABI family member 3 binding protein	Q7Z7G0		NESHBP|DKFZP586L2024|TARSH	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
DEGS1	HGNC:13709	8560	ENSG00000143753	delta 4-desaturase, sphingolipid 1	O15121		MLD|Des-1|DES1|FADS7|DEGS-1	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
SLC17A9	HGNC:16192	63910	ENSG00000101194	solute carrier family 17 member 9	Q9BYT1		FLJ23412|VNUT|C20orf59	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
TUBE1	HGNC:20775	51175	ENSG00000074935	tubulin epsilon 1	Q9UJT0		dJ142L7.2|FLJ22589|TUBE	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
INIP	HGNC:24994	58493	ENSG00000148153	INTS3 and NABP interacting protein	Q9NRY2		HSPC043|hSSBIP1|SOSS-C|MISE|C9orf80	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
EYA1	HGNC:3519	2138	ENSG00000104313	EYA transcriptional coactivator and phosphatase 1	Q99502		BOR	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
PRAMEF10	HGNC:27997	343071	ENSG00000187545	PRAME family member 10	O60809			rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
DOLK	HGNC:23406	22845	ENSG00000175283	dolichol kinase	Q9UPQ8		KIAA1094|DK1|TMEM15	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
GAGE10	HGNC:30968	102724473	ENSG00000215274	G antigen 10	A6NGK3		OTTHUMG00000024136	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
DBR1	HGNC:15594	51163	ENSG00000138231	debranching RNA lariats 1	Q9UK59			rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
OR5A1	HGNC:8319	219982	ENSG00000172320	olfactory receptor family 5 subfamily A member 1	Q8NGJ0		OST181|OR5A1P	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
EYA3	HGNC:3521	2140	ENSG00000158161	EYA transcriptional coactivator and phosphatase 3	Q99504		DKFZp686C132	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
TNS3	HGNC:21616	64759	ENSG00000136205	tensin 3	Q68CZ2		TEM6|H_NH0549I23.2|FLJ13732|TENS1	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
PPP1R11	HGNC:9285	6992	ENSG00000204619	protein phosphatase 1 regulatory inhibitor subunit 11	O60927		HCGV|Tctex5|HCG-V|CFAP255|TCTE5	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
LIME1	HGNC:26016	54923	ENSG00000203896	Lck interacting transmembrane adaptor 1	Q9H400		FLJ20406|dJ583P15.4|LIME	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
PPM1H	HGNC:18583	57460	ENSG00000111110	protein phosphatase, Mg2+/Mn2+ dependent 1H	Q9ULR3		KIAA1157|FLJ13253|NERPP-2C|ARHCL1	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
LMO3	HGNC:6643	55885	ENSG00000048540	LIM domain only 3	Q8TAP4		Rhom-3|DAT1|RBTNL2	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
EPCIP	HGNC:1305	56245	ENSG00000205929	exosomal polycystin 1 interacting protein	Q9NYP8		B37|PRED81|CU062|C21orf120|C21orf62	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
ANGPTL3	HGNC:491	27329	ENSG00000132855	angiopoietin like 3	Q9Y5C1		ANGPT5	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
GAREM1	HGNC:26136	64762	ENSG00000141441	GRB2 associated regulator of MAPK1 subtype 1	Q9H706		FLJ21610|C18orf11|FAM59A|GAREM	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
ICAM5	HGNC:5348	7087	ENSG00000105376	intercellular adhesion molecule 5	Q9UMF0		TLN|TLCN	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
ADGRF5	HGNC:19030	221395	ENSG00000069122	adhesion G protein-coupled receptor F5	Q8IZF2		DKFZp564O1923|KIAA0758|GPR116	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
ZNF726	HGNC:32462	730087	ENSG00000213967	zinc finger protein 726	A6NNF4		ZNF92P3	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
ESM1	HGNC:3466	11082	ENSG00000164283	endothelial cell specific molecule 1	Q9NQ30			rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
OR8B2	HGNC:8471	26595	ENSG00000284680	olfactory receptor family 8 subfamily B member 2	Q96RD0			rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
CSTPP1	HGNC:28720	79096	ENSG00000149179	centriolar satellite-associated tubulin polyglutamylase complex regulator 1	Q9H6J7		FLJ22210|MGC4707|C11orf49	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
TSHZ1	HGNC:10669	10194	ENSG00000179981	teashirt zinc finger homeobox 1	Q6ZSZ6		NY-CO-33|TSH1|SDCCAG33	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
NLRP8	HGNC:22940	126205	ENSG00000179709	NLR family pyrin domain containing 8	Q86W28		NOD16|PAN4|CLR19.2|NALP8	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
MAGEB10	HGNC:25377	139422	ENSG00000177689	MAGE family member B10	Q96LZ2		FLJ32965	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
SLC17A2	HGNC:10930	10246	ENSG00000112337	solute carrier family 17 member 2	O00624		NPT3	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
SORCS1	HGNC:16697	114815	ENSG00000108018	sortilin related VPS10 domain containing receptor 1	Q8WY21			rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
ZC3H7A	HGNC:30959	29066	ENSG00000122299	zinc finger CCCH-type containing 7A	Q8IWR0		HSPC055|FLJ20318|ZC3HDC7|ZC3H7	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
UACA	HGNC:15947	55075	ENSG00000137831	uveal autoantigen with coiled-coil domains and ankyrin repeats	Q9BZF9		FLJ10128|KIAA1561	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
LIG1	HGNC:6598	3978	ENSG00000105486	DNA ligase 1	P18858		LIGI|hLig1	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
CCSER2	HGNC:29197	54462	ENSG00000107771	coiled-coil serine rich protein 2	Q9H7U1		KIAA1128|FAM190B	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
H2AC4	HGNC:4734	8335	ENSG00000278463	H2A clustered histone 4	P04908		H2A/m|H2AFM|HIST1H2AB	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
CRTAC1	HGNC:14882	55118	ENSG00000095713	cartilage acidic protein 1	Q9NQ79		FLJ10320|CEP-68|ASPIC1	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
SGTA	HGNC:10819	6449	ENSG00000104969	small glutamine rich tetratricopeptide repeat co-chaperone alpha	O43765		UBP|SGT1|Vpu|hSGT|alphaSGT|SGT	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
ZNF615	HGNC:24740	284370	ENSG00000197619	zinc finger protein 615	Q8N8J6		FLJ33710	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
RAB31	HGNC:9771	11031	ENSG00000168461	RAB31, member RAS oncogene family	Q13636		Rab22B	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
STAB1	HGNC:18628	23166	ENSG00000010327	stabilin 1	Q9NY15		KIAA0246|STAB-1|FEEL-1|CLEVER-1|FELE-1|FEX1|SCARH2	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
DLX3	HGNC:2916	1747	ENSG00000064195	distal-less homeobox 3	O60479			rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
WFDC2	HGNC:15939	10406	ENSG00000101443	WAP four-disulfide core domain 2	Q14508		HE4|WAP5|dJ461P17.6|EDDM4	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
MATN1	HGNC:6907	4146	ENSG00000162510	matrilin 1	P21941		CRTM|CMP	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
VN1R5	HGNC:19870	317705	ENSG00000197617	vomeronasal 1 receptor 5 (gene/pseudogene)	Q7Z5H4		V1RL5	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
MDGA2	HGNC:19835	161357	ENSG00000139915	MAM domain containing glycosylphosphatidylinositol anchor 2	Q7Z553		MAMDC1	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
GM2A	HGNC:4367	2760	ENSG00000196743	ganglioside GM2 activator	P17900		SAP-3|GM2-AP|GM2AP	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
CAPSL	HGNC:28375	133690	ENSG00000152611	calcyphosine like	Q8WWF8		MGC26610	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
LCE1F	HGNC:29467	353137	ENSG00000240386	late cornified envelope 1F	Q5T754		LEP6	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
C17orf58	HGNC:27568	284018	ENSG00000186665	chromosome 17 open reading frame 58	Q2M2W7			rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
SEMG2	HGNC:10743	6407	ENSG00000124157	semenogelin 2	Q02383		SGII	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
FFAR3	HGNC:4499	2865	ENSG00000185897	free fatty acid receptor 3	O14843		FFA3R|GPR41	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
TICAM2	HGNC:21354	353376	ENSG00000243414	TIR domain containing adaptor molecule 2	Q86XR7		TRAM|TICAM-2|TIRP	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
MCU	HGNC:23526	90550	ENSG00000156026	mitochondrial calcium uniporter	Q8NE86		FLJ46135|C10orf42|CCDC109A	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
SPNS2	HGNC:26992	124976	ENSG00000183018	SPNS lysolipid transporter 2, sphingosine-1-phosphate	Q8IVW8		SLC63A2	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
NOL7	HGNC:21040	51406	ENSG00000225921	nucleolar protein 7	Q9UMY1		NOP27|RARG-1|dJ223E5.2|C6orf90|PQBP3	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
COL4A3	HGNC:2204	1285	ENSG00000169031	collagen type IV alpha 3 chain	Q01955			rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
C14orf180	HGNC:33795	400258	ENSG00000184601	chromosome 14 open reading frame 180	Q8N912		NRAC|C14orf77	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
CTSA	HGNC:9251	5476	ENSG00000064601	cathepsin A	P10619		GSL|PPGB	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
BRPF1	HGNC:14255	7862	ENSG00000156983	bromodomain and PHD finger containing 1	P55201		BR140	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
DPY19L2	HGNC:19414	283417	ENSG00000177990	dpy-19 like 2	Q6NUT2		FLJ32949|SPATA34	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
USP9Y	HGNC:12633	8287	ENSG00000114374	ubiquitin specific peptidase 9 Y-linked	O00507		DFFRY|FAF-Y|AZFA	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
TXNRD3	HGNC:20667	114112	ENSG00000197763	thioredoxin reductase 3	Q86VQ6		TR2|TRXR3|TGR|TR2IT1|TXNRD3NT1|TXNR3|TXNRD3NB|TXNRD3IT1	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
ITPRID1	HGNC:27363	223075	ENSG00000180347	ITPR interacting domain containing 1	Q6ZRS4		FLJ38344|CCDC129	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
HELT	HGNC:33783	391723	ENSG00000187821	helt bHLH transcription factor	A6NFD8		HESL|HCM1228|Mgn|bHLHb44|MEGANE	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
LRIF1	HGNC:30299	55791	ENSG00000121931	ligand dependent nuclear receptor interacting factor 1	Q5T3J3		RIF1|FLJ11269|C1orf103	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
SPATA13	HGNC:23222	221178	ENSG00000182957	spermatogenesis associated 13	Q96N96		FLJ31208|ARHGEF29|ASEF2	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
C10orf143	HGNC:48677	387723	ENSG00000237489	chromosome 10 open reading frame 143	A0A1B0GUT2		LINC00959	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
PON1	HGNC:9204	5444	ENSG00000005421	paraoxonase 1	P27169		ESA|PON	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
MRNIP	HGNC:30817	51149	ENSG00000161010	MRN complex interacting protein	Q6NTE8		MGC65027|MGC78537|DKFZp686L2452|LOC51149|C5orf45	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
MZB1	HGNC:30125	51237	ENSG00000170476	marginal zone B and B1 cell specific protein	Q8WU39		PACAP|MGC29506|HSPC190|pERp1|MEDA-7	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
SIRT1	HGNC:14929	23411	ENSG00000096717	sirtuin 1	Q96EB6		SIR2L1	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
DRAP1	HGNC:3019	10589	ENSG00000175550	DR1 associated protein 1	Q14919		NC2-alpha	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
AADACL4	HGNC:32038	343066	ENSG00000204518	arylacetamide deacetylase like 4	Q5VUY2		OTTHUMG00000001889	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
KIR2DS3	HGNC:6335	3808		killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 3	Q14952		nkat7	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
APOH	HGNC:616	350	ENSG00000091583	apolipoprotein H	P02749		BG|B2G1	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
PLOD3	HGNC:9083	8985	ENSG00000106397	procollagen-lysine,2-oxoglutarate 5-dioxygenase 3	O60568		LH3	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
CABS1	HGNC:30710	85438	ENSG00000145309	calcium binding protein, spermatid associated 1	Q96KC9		NYD-SP26|FLJ32897|CLPH|C4orf35	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
CAPZA1	HGNC:1488	829	ENSG00000116489	capping actin protein of muscle Z-line subunit alpha 1	P52907		CAPPA1	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
SIGLEC11	HGNC:15622	114132	ENSG00000161640	sialic acid binding Ig like lectin 11	Q96RL6			rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
GPR152	HGNC:23622	390212	ENSG00000175514	G protein-coupled receptor 152	Q8TDT2		PGR5	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
LRRC8C	HGNC:25075	84230	ENSG00000171488	leucine rich repeat containing 8 VRAC subunit C	Q8TDW0		AD158	rheumatoid arthritis	random	0			HGNC protein-coding, random seed 20260921
