symbol	hgnc_id	entrez_id	ensembl_gene_id	gene_name	uniprot_ids	protein_name_uniprot	alias_symbols	disease	category	label	evidence	note	source
CCR6	HGNC:1607	1235	ENSG00000112486	C-C motif chemokine receptor 6	P51684		CKR-L3|GPR-CY4|CMKBR6|GPR29|DRY-6|DCR2|BN-1|CD196|STRL22	rheumatoid arthritis	candidate	0	GWAS	Th17 chemokine receptor	curated (Claude knowledge; unverified)
IL2RA	HGNC:6008	3559	ENSG00000134460	interleukin 2 receptor subunit alpha	P01589		CD25|IL2R|IDDM10	rheumatoid arthritis	candidate	0	GWAS	Treg / T-cell	curated (Claude knowledge; unverified)
IL2RB	HGNC:6009	3560	ENSG00000100385	interleukin 2 receptor subunit beta	P14784		CD122|IL15RB	rheumatoid arthritis	candidate	0	GWAS	T-cell	curated (Claude knowledge; unverified)
IRF5	HGNC:6120	3663	ENSG00000128604	interferon regulatory factor 5	Q13568		IRF-5	rheumatoid arthritis	candidate	0	GWAS	interferon regulatory factor	curated (Claude knowledge; unverified)
REL	HGNC:9954	5966	ENSG00000162924	REL proto-oncogene, NF-kB subunit	Q04864		I-Rel|c-Rel|HIVEN86A	rheumatoid arthritis	candidate	0	GWAS	NF-kB subunit	curated (Claude knowledge; unverified)
BLK	HGNC:1057	640	ENSG00000136573	BLK proto-oncogene, Src family tyrosine kinase	P51451		MGC10442	rheumatoid arthritis	candidate	0	GWAS	B-cell kinase	curated (Claude knowledge; unverified)
AFF3	HGNC:6473	3899	ENSG00000144218	ALF transcription elongation factor 3	P51826		MLLT2-like|LAF4	rheumatoid arthritis	candidate	0	GWAS	lymphoid transcription factor	curated (Claude knowledge; unverified)
CD2	HGNC:1639	914	ENSG00000116824	CD2 molecule	P06729		SRBC	rheumatoid arthritis	candidate	0	GWAS	CD2-CD58 locus	curated (Claude knowledge; unverified)
CD58	HGNC:1688	965	ENSG00000116815	CD58 molecule	P19256		LFA3	rheumatoid arthritis	candidate	0	GWAS	CD2-CD58 locus	curated (Claude knowledge; unverified)
CCL21	HGNC:10620	6366	ENSG00000137077	C-C motif chemokine ligand 21	O00585		SLC|exodus-2|TCA4|CKb9|6Ckine|ECL|SCYA21	rheumatoid arthritis	candidate	0	GWAS	lymphoid chemokine	curated (Claude knowledge; unverified)
PRKCQ	HGNC:9410	5588	ENSG00000065675	protein kinase C theta	Q04759			rheumatoid arthritis	candidate	0	GWAS	T-cell PKC-theta	curated (Claude knowledge; unverified)
IL6ST	HGNC:6021	3572	ENSG00000134352	interleukin 6 cytokine family signal transducer	P40189		GP130|CD130|sGP130|IL-6RB	rheumatoid arthritis	candidate	0	GWAS	gp130; IL-6 signalling	curated (Claude knowledge; unverified)
TYK2	HGNC:12440	7297	ENSG00000105397	tyrosine kinase 2	P29597		JTK1	rheumatoid arthritis	candidate	0	GWAS; clinical_trial	protective P1104A variant; TYK2 inhibitors in trials	curated (Claude knowledge; unverified)
ANKRD55	HGNC:25681	79722	ENSG00000164512	ankyrin repeat domain 55	Q3KP44		FLJ11795	rheumatoid arthritis	candidate	0	GWAS	ANKRD55-IL6ST locus	curated (Claude knowledge; unverified)
RBPJ	HGNC:5724	3516	ENSG00000168214	recombination signal binding protein for immunoglobulin kappa J region	Q06330		SUH|IGKJRB|RBPJK|KBF2|RBP-J|CBF1|IGKJRB1|RBPSUH	rheumatoid arthritis	candidate	0	GWAS	Notch signalling	curated (Claude knowledge; unverified)
CDK6	HGNC:1777	1021	ENSG00000105810	cyclin dependent kinase 6	Q00534		PLSTIRE	rheumatoid arthritis	candidate	0	GWAS	cell cycle	curated (Claude knowledge; unverified)
SPRED2	HGNC:17722	200734	ENSG00000198369	sprouty related EVH1 domain containing 2	Q7Z698		Spred-2|FLJ21897|FLJ31917	rheumatoid arthritis	candidate	0	GWAS	MAPK regulator	curated (Claude knowledge; unverified)
PTPRC	HGNC:9666	5788	ENSG00000081237	protein tyrosine phosphatase receptor type C	P08575		LCA|T200|GP180|LY5|B220|CD45R|CD45	rheumatoid arthritis	candidate	0	GWAS	CD45	curated (Claude knowledge; unverified)
FCGR2A	HGNC:3616	2212	ENSG00000143226	Fc gamma receptor IIa	P12318		CD32|CD32A|IGFR2|CDw32|Fc-gamma-RIIa|FcgammaRIIa|FCG2|FCGR2A1|FCGR2	rheumatoid arthritis	candidate	0	GWAS	Fc gamma receptor	curated (Claude knowledge; unverified)
FCRL3	HGNC:18506	115352	ENSG00000160856	Fc receptor like 3	Q96P31		FCRH3|IRTA3|IFGP3|SPAP2a|SPAP2|SPAP2b|SPAP2c|SPAP2d|SPAP2e|CD307c|MAIA	rheumatoid arthritis	candidate	0	GWAS	Fc receptor-like; East Asian	curated (Claude knowledge; unverified)
IL21	HGNC:6005	59067	ENSG00000138684	interleukin 21	Q9HBE4		Za11|IL-21	rheumatoid arthritis	candidate	0	GWAS	Tfh cytokine	curated (Claude knowledge; unverified)
TAGAP	HGNC:15669	117289	ENSG00000164691	T cell activation RhoGTPase activating protein	Q8N103		FLJ32631|IDDM21|ARHGAP47	rheumatoid arthritis	candidate	0	GWAS	T-cell activation GTPase	curated (Claude knowledge; unverified)
CD247	HGNC:1677	919	ENSG00000198821	CD247 molecule	P20963		CD3H|CD3Q|TCRZ|CD3-ZETA|CD3ZETA|CD3Z	rheumatoid arthritis	candidate	0	GWAS	CD3 zeta	curated (Claude knowledge; unverified)
GATA3	HGNC:4172	2625	ENSG00000107485	GATA binding protein 3	P23771		HDR	rheumatoid arthritis	candidate	0	GWAS	T-cell transcription factor	curated (Claude knowledge; unverified)
RUNX1	HGNC:10471	861	ENSG00000159216	RUNX family transcription factor 1	Q01196		PEBP2A2|AMLCR1|AML1|CBFA2	rheumatoid arthritis	candidate	0	GWAS	haematopoietic transcription factor	curated (Claude knowledge; unverified)
ETS1	HGNC:3488	2113	ENSG00000134954	ETS proto-oncogene 1, transcription factor	P14921		FLJ10768|ETS-1|EWSR2	rheumatoid arthritis	candidate	0	GWAS	transcription factor	curated (Claude knowledge; unverified)
IKZF3	HGNC:13178	22806	ENSG00000161405	IKAROS family zinc finger 3	Q9UKT9		Aiolos|ZNFN1A3	rheumatoid arthritis	candidate	0	GWAS	Aiolos	curated (Claude knowledge; unverified)
ARID5B	HGNC:17362	84159	ENSG00000150347	AT-rich interaction domain 5B	Q14865		FLJ21150|MRF2	rheumatoid arthritis	candidate	0	GWAS	transcription regulator	curated (Claude knowledge; unverified)
TNFRSF9	HGNC:11924	3604	ENSG00000049249	TNF receptor superfamily member 9	Q07011		CD137|4-1BB|ILA	rheumatoid arthritis	candidate	0	GWAS	4-1BB	curated (Claude knowledge; unverified)
IL10	HGNC:5962	3586	ENSG00000136634	interleukin 10	P22301		CSIF|TGIF|IL10A|IL-10	rheumatoid arthritis	candidate	0	GWAS	anti-inflammatory cytokine (opposite direction for inhibition)	curated (Claude knowledge; unverified)
RASGRP1	HGNC:9878	10125	ENSG00000172575	RAS guanyl releasing protein 1	O95267		CalDAG-GEFII|RASGRP	rheumatoid arthritis	candidate	0	GWAS	T-cell Ras activator	curated (Claude knowledge; unverified)
CSF2	HGNC:2434	1437	ENSG00000164400	colony stimulating factor 2	P04141		GM-CSF|GMCSF	rheumatoid arthritis	candidate	0	clinical_trial	GM-CSF; otilimab failed phase 3	curated (Claude knowledge; unverified)
CSF2RA	HGNC:2435	1438	ENSG00000198223	colony stimulating factor 2 receptor subunit alpha	P15509		CD116|alphaGMR|CSF2R	rheumatoid arthritis	candidate	0	clinical_trial	GM-CSF receptor alpha; mavrilimumab phase 2	curated (Claude knowledge; unverified)
IL17A	HGNC:5981	3605	ENSG00000112115	interleukin 17A	Q16552		IL-17A|IL-17|CTLA8|IL17	rheumatoid arthritis	candidate	0	clinical_trial	secukinumab/ixekizumab not approved for RA	curated (Claude knowledge; unverified)
IL23A	HGNC:15488	51561	ENSG00000110944	interleukin 23 subunit alpha	Q9NPF7		SGRF|IL23P19|IL-23|IL-23A|P19	rheumatoid arthritis	candidate	0	clinical_trial	IL-23 p19; not approved for RA	curated (Claude knowledge; unverified)
IL12B	HGNC:5970	3593	ENSG00000113302	interleukin 12B	P29460		CLMF|IL-12B|NKSF|CLMF2|NKSF2	rheumatoid arthritis	candidate	0	clinical_trial	IL-12/23 p40; ustekinumab phase 2 in RA	curated (Claude knowledge; unverified)
BTK	HGNC:1133	695	ENSG00000010671	Bruton tyrosine kinase	Q06187		ATK|XLA|PSCTK1|AGMX1|IMD1	rheumatoid arthritis	candidate	0	clinical_trial	BTK inhibitors phase 2 in RA	curated (Claude knowledge; unverified)
IRAK4	HGNC:17967	51135	ENSG00000198001	interleukin 1 receptor associated kinase 4	Q9NWZ3		NY-REN-64	rheumatoid arthritis	candidate	0	clinical_trial	IRAK4 inhibitors phase 2 in RA	curated (Claude knowledge; unverified)
CCR5	HGNC:1606	1234	ENSG00000160791	C-C motif chemokine receptor 5	P51681		CKR-5|CC-CKR-5|CKR5|CD195|IDDM22|CMKBR5	rheumatoid arthritis	candidate	0	clinical_trial	maraviroc failed in RA	curated (Claude knowledge; unverified)
CXCL13	HGNC:10639	10563	ENSG00000156234	C-X-C motif chemokine ligand 13	O43927		BLC|BCA-1|BLR1L|ANGIE|ANGIE2|SCYB13	rheumatoid arthritis	candidate	0	biology	B-cell follicle chemokine in synovium	curated (Claude knowledge; unverified)
CXCR5	HGNC:1060	643	ENSG00000160683	C-X-C motif chemokine receptor 5	P32302		MDR15|CD185|BLR1	rheumatoid arthritis	candidate	0	biology	Tfh / B-cell homing	curated (Claude knowledge; unverified)
ICOSLG	HGNC:17087	23308	ENSG00000160223	inducible T cell costimulator ligand	O75144		KIAA0653|GL50|B7-H2|B7RP-1|B7H2|B7RP1|ICOS-L|CD275|B7h|ICOSL	rheumatoid arthritis	candidate	0	biology	co-stimulation	curated (Claude knowledge; unverified)
CD40LG	HGNC:11935	959	ENSG00000102245	CD40 ligand	P29965		CD40L|TRAP|gp39|hCD40L|CD154|CD40-L|HIGM1|T-BAM|HIGM1|IMD3|TNFSF5	rheumatoid arthritis	candidate	0	clinical_trial	CD40L blockade in trials for autoimmunity	curated (Claude knowledge; unverified)
TNFSF13B	HGNC:11929	10673	ENSG00000102524	TNF superfamily member 13b	Q9Y275		BAFF|THANK|BLYS|TALL-1|TALL1|CD257|TNFSF20	rheumatoid arthritis	candidate	0	clinical_trial	BAFF; belimumab phase 2 in RA (approved for SLE)	curated (Claude knowledge; unverified)
IL15	HGNC:5977	3600	ENSG00000164136	interleukin 15	P40933		IL-15|MGC9721	rheumatoid arthritis	candidate	0	clinical_trial	IL-15 antibody phase 2	curated (Claude knowledge; unverified)
IL18	HGNC:5986	3606	ENSG00000150782	interleukin 18	Q14116		IGIF|IL1F4|IL-1g|IL-18	rheumatoid arthritis	candidate	0	biology	inflammasome cytokine	curated (Claude knowledge; unverified)
IL1B	HGNC:5992	3553	ENSG00000125538	interleukin 1 beta	P01584		IL1F2|IL-1B|IL1-BETA	rheumatoid arthritis	candidate	0	biology	IL-1 beta; canakinumab not approved for RA	curated (Claude knowledge; unverified)
MMP1	HGNC:7155	4312	ENSG00000196611	matrix metallopeptidase 1	P03956		CLG	rheumatoid arthritis	candidate	0	biology	collagenase; joint destruction	curated (Claude knowledge; unverified)
MMP3	HGNC:7173	4314	ENSG00000149968	matrix metallopeptidase 3	P08254		STMY1|STMY	rheumatoid arthritis	candidate	0	biology	stromelysin; RA biomarker	curated (Claude knowledge; unverified)
CTSK	HGNC:2536	1513	ENSG00000143387	cathepsin K	P43235		PKND|CTSO2|CTSO|PYCD	rheumatoid arthritis	candidate	0	biology	cathepsin K; osteoclast bone resorption	curated (Claude knowledge; unverified)
SYK	HGNC:11491	6850	ENSG00000165025	spleen associated tyrosine kinase	P43405			rheumatoid arthritis	candidate	0	clinical_trial	fostamatinib phase 3 in RA (not approved)	curated (Claude knowledge; unverified)
PIK3CD	HGNC:8977	5293	ENSG00000171608	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	O00329		p110D	rheumatoid arthritis	candidate	0	biology	PI3K delta; B/T-cell signalling	curated (Claude knowledge; unverified)
MAPK14	HGNC:6876	1432	ENSG00000112062	mitogen-activated protein kinase 14	Q16539		p38alpha|PRKM14|p38|Mxi2|PRKM15|CSPB1|CSBP1|CSBP2	rheumatoid arthritis	candidate	0	clinical_trial	p38 inhibitors failed in RA	curated (Claude knowledge; unverified)
IKBKB	HGNC:5960	3551	ENSG00000104365	inhibitor of nuclear factor kappa B kinase subunit beta	O14920		IKK2|NFKBIKB|IKK-beta|IKKB	rheumatoid arthritis	candidate	0	biology	IKK-beta; NF-kB	curated (Claude knowledge; unverified)
NFKB1	HGNC:7794	4790	ENSG00000109320	nuclear factor kappa B subunit 1	P19838		KBF1|p105|NFKB-p50|p50|NF-kappaB|NFkappaB|NF-kB1	rheumatoid arthritis	candidate	0	biology	NF-kB p50	curated (Claude knowledge; unverified)
TNFRSF1A	HGNC:11916	7132	ENSG00000067182	TNF receptor superfamily member 1A	P19438		TNF-R|TNFAR|TNFR60|TNF-R-I|CD120a|TNF-R55|TNFR1	rheumatoid arthritis	candidate	0	biology	TNF receptor 1	curated (Claude knowledge; unverified)
CSF2RB	HGNC:2436	1439	ENSG00000100368	colony stimulating factor 2 receptor subunit beta	P32927		IL5RB|CD131|betaGMR|IL3RB	rheumatoid arthritis	candidate	0	biology	GM-CSF receptor beta	curated (Claude knowledge; unverified)
IL7R	HGNC:6024	3575	ENSG00000168685	interleukin 7 receptor	P16871		CD127|IL7RA|lnc-IL7R|IL-7Ralpha|IL7Ralpha|sIL-7R|CDw127	rheumatoid arthritis	candidate	0	GWAS	IL-7 receptor	curated (Claude knowledge; unverified)
IL17RA	HGNC:5985	23765	ENSG00000177663	interleukin 17 receptor A	Q96F46		hIL-17R|IL-17RA|CDw217|CD217|IL17R	rheumatoid arthritis	candidate	0	biology	IL-17 receptor A (brodalumab not for RA)	curated (Claude knowledge; unverified)
TLR4	HGNC:11850	7099	ENSG00000136869	toll like receptor 4	O00206		hToll|CD284|TLR-4|ARMD10	rheumatoid arthritis	candidate	0	biology	innate immune receptor	curated (Claude knowledge; unverified)
